code,rs_percentile_12m,rs_percentile_3m
HK.00001,81.0,47
HK.00002,78.0,66
HK.00003,72.0,75
HK.00004,52.0,63
HK.00005,88.0,66
HK.00006,79.0,68
HK.00008,64.0,52
HK.00010,48.0,43
HK.00012,59.0,49
HK.00013,75.0,86
HK.00014,56.0,31
HK.00016,69.0,32
HK.00017,27.0,18
HK.00018,22.0,25
HK.00019,89.0,79
HK.00020,14.0,13
HK.00021,31.0,18
HK.00022,35.0,98
HK.00023,91.0,93
HK.00025,84.0,76
HK.00026,69.0,63
HK.00027,56.0,59
HK.00028,30.0,36
HK.00029,34.0,38
HK.00030,64.0,55
HK.00031,18.0,14
HK.00032,45.0,34
HK.00033,61.0,57
HK.00034,74.0,33
HK.00035,46.0,48
HK.00036,81.0,57
HK.00037,60.0,45
HK.00038,84.0,86
HK.00039,19.0,57
HK.00040,59.0,54
HK.00041,60.0,31
HK.00042,20.0,22
HK.00045,49.0,52
HK.00046,51.0,67
HK.00048,93.0,74
HK.00050,67.0,55
HK.00051,54.0,33
HK.00052,63.0,63
HK.00053,66.0,61
HK.00055,35.0,41
HK.00057,48.0,41
HK.00058,74.0,37
HK.00059,65.0,57
HK.00060,82.0,87
HK.00061,10.0,18
HK.00062,44.0,28
HK.00063,14.0,66
HK.00064,84.0,67
HK.00065,50.0,89
HK.00066,77.0,66
HK.00068,,18
HK.00069,47.0,36
HK.00070,84.0,96
HK.00071,64.0,53
HK.00072,41.0,36
HK.00073,58.0,46
HK.00075,40.0,15
HK.00076,54.0,92
HK.00077,88.0,89
HK.00078,42.0,76
HK.00079,89.0,90
HK.00081,82.0,87
HK.00082,47.0,44
HK.00083,56.0,39
HK.00084,66.0,60
HK.00085,12.0,10
HK.00086,70.0,64
HK.00087,84.0,77
HK.00088,55.0,47
HK.00089,60.0,50
HK.00090,28.0,32
HK.00092,48.0,33
HK.00093,21.0,12
HK.00094,32.0,13
HK.00095,41.0,30
HK.00096,58.0,67
HK.00097,28.0,40
HK.00098,30.0,14
HK.00099,63.0,72
HK.00100,,15
HK.00101,39.0,31
HK.00103,47.0,88
HK.00104,73.0,66
HK.00105,68.0,54
HK.00106,65.0,57
HK.00107,64.0,68
HK.00108,38.0,80
HK.00110,96.0,86
HK.00111,83.0,87
HK.00113,75.0,37
HK.00114,72.0,47
HK.00115,22.0,16
HK.00116,80.0,77
HK.00117,98.0,86
HK.00118,59.0,79
HK.00119,16.0,6
HK.00120,12.0,49
HK.00122,45.0,33
HK.00123,22.0,12
HK.00124,33.0,39
HK.00125,44.0,43
HK.00126,18.0,26
HK.00127,38.0,34
HK.00128,92.0,97
HK.00129,23.0,35
HK.00130,67.0,44
HK.00131,66.0,52
HK.00132,22.0,23
HK.00135,74.0,81
HK.00136,31.0,72
HK.00137,59.0,68
HK.00138,4.0,14
HK.00139,10.0,44
HK.00142,46.0,40
HK.00144,79.0,83
HK.00145,80.0,92
HK.00146,59.0,76
HK.00147,95.0,99
HK.00148,88.0,59
HK.00149,64.0,69
HK.00150,54.0,62
HK.00151,11.0,14
HK.00152,26.0,49
HK.00154,43.0,78
HK.00156,79.0,74
HK.00157,50.0,47
HK.00158,67.0,68
HK.00159,4.0,2
HK.00160,14.0,22
HK.00162,26.0,30
HK.00163,13.0,12
HK.00164,63.0,47
HK.00165,41.0,78
HK.00166,53.0,89
HK.00167,96.0,49
HK.00168,41.0,25
HK.00169,21.0,27
HK.00171,17.0,80
HK.00173,53.0,47
HK.00174,20.0,13
HK.00175,46.0,18
HK.00176,65.0,57
HK.00177,75.0,78
HK.00178,93.0,94
HK.00179,17.0,22
HK.00180,57.0,54
HK.00181,29.0,17
HK.00182,58.0,72
HK.00183,49.0,67
HK.00184,72.0,62
HK.00185,17.0,31
HK.00186,95.0,97
HK.00187,12.0,18
HK.00188,47.0,41
HK.00189,40.0,20
HK.00191,15.0,4
HK.00193,54.0,48
HK.00194,58.0,51
HK.00196,7.0,8
HK.00197,91.0,96
HK.00199,97.0,48
HK.00200,18.0,16
HK.00201,40.0,26
HK.00202,16.0,92
HK.00205,62.0,28
HK.00206,9.0,11
HK.00209,0.0,0
HK.00210,26.0,17
HK.00211,67.0,64
HK.00212,69.0,61
HK.00213,67.0,73
HK.00214,36.0,77
HK.00215,70.0,62
HK.00216,24.0,27
HK.00217,31.0,36
HK.00218,25.0,46
HK.00219,73.0,48
HK.00220,55.0,33
HK.00222,61.0,37
HK.00223,35.0,84
HK.00224,70.0,74
HK.00225,54.0,41
HK.00227,5.0,5
HK.00228,5.0,3
HK.00229,52.0,63
HK.00232,96.0,81
HK.00234,58.0,80
HK.00235,28.0,50
HK.00236,50.0,48
HK.00237,63.0,40
HK.00239,75.0,72
HK.00240,59.0,42
HK.00241,18.0,26
HK.00242,34.0,63
HK.00243,77.0,64
HK.00244,51.0,52
HK.00245,42.0,43
HK.00247,63.0,57
HK.00248,32.0,39
HK.00251,45.0,31
HK.00252,70.0,60
HK.00253,67.0,44
HK.00254,1.0,85
HK.00255,62.0,64
