code,rs_percentile_12m,rs_percentile_3m,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
HK.00001,80.0,48,0,0,0.6
HK.00002,75.0,53,0,0,0.2
HK.00003,71.0,62,0,0,0.05
HK.00004,53.0,64,0,0,0.55
HK.00005,84.0,52,1,5,0.3
HK.00006,73.0,62,0,0,0.1
HK.00008,57.0,41,1,6,0.55
HK.00010,42.0,34,1,7,0.95
HK.00012,58.0,37,0,0,0.8
HK.00013,74.0,88,0,0,0.05
HK.00014,47.0,29,1,40,1.0
HK.00016,63.0,20,1,13,0.95
HK.00017,30.0,17,1,20,1.0
HK.00018,25.0,50,0,0,0.15
HK.00019,88.0,73,0,0,0.25
HK.00020,20.0,22,1,20,1.0
HK.00021,67.0,87,0,0,0.6
HK.00022,18.0,96,0,0,0.3
HK.00023,90.0,90,0,0,0.0
HK.00025,81.0,74,0,0,0.15
HK.00026,69.0,63,0,0,0.15
HK.00027,56.0,42,1,6,0.55
HK.00028,24.0,34,1,3,0.7
HK.00029,25.0,26,1,6,0.65
HK.00030,44.0,51,1,4,0.45
HK.00031,19.0,23,1,1,0.9
HK.00032,45.0,38,0,0,0.55
HK.00033,58.0,58,0,0,0.15
HK.00034,74.0,39,0,0,0.8
HK.00035,46.0,61,0,0,0.55
HK.00036,78.0,58,0,0,0.15
HK.00037,60.0,43,1,5,0.45
HK.00038,79.0,66,1,6,0.3
HK.00039,22.0,58,0,0,0.15
HK.00040,58.0,46,0,0,0.2
HK.00041,57.0,36,1,11,0.95
HK.00042,15.0,19,1,4,0.55
HK.00045,54.0,46,0,0,0.4
HK.00046,55.0,71,0,0,0.1
HK.00048,92.0,65,0,0,0.15
HK.00050,60.0,45,1,9,0.45
HK.00051,69.0,67,0,0,0.55
HK.00052,49.0,38,1,6,0.5
HK.00053,69.0,67,0,0,0.1
HK.00055,29.0,20,1,4,0.8
HK.00057,57.0,62,0,0,0.4
HK.00058,64.0,35,1,23,1.0
HK.00059,62.0,58,0,0,0.15
HK.00060,81.0,87,0,0,0.0
HK.00061,20.0,36,0,0,0.5
HK.00062,38.0,30,1,5,0.95
HK.00063,8.0,19,1,2,0.15
HK.00064,82.0,67,0,0,0.05
HK.00065,87.0,96,0,0,0.25
HK.00066,76.0,62,0,0,0.15
HK.00068,,20,1,11,0.7
HK.00069,43.0,36,1,8,0.6
HK.00070,85.0,95,0,0,0.0
