ticker,raw_score,rs_percentile,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
A,0.04582543318692603,72,1,3,0.15
AA,-0.03169590338842884,41,0,0,0.25
AACG,0.01971053323400479,66,0,0,0.55
AACIU,-0.005759114086191463,53,0,0,0.85
AACOU,-0.007937475506311707,52,1,6,0.85
AAL,-0.18690402184841892,12,1,23,1.0
AAME,-0.1819223288586595,12,1,7,0.95
AAMI,0.08755841404043581,81,0,0,0.15
AAOI,-0.21021824635609804,10,1,12,0.65
AAON,-0.25281013032942895,8,1,51,1.0
AAP,-0.26089460827826294,8,1,14,0.95
AAPG,-0.06886161963756036,29,1,6,0.7
AAPL,0.0064879323695858585,61,1,1,0.6
AARD,-0.05465763072953114,33,1,8,0.65
AAT,-0.07352304671616514,28,1,34,1.0
AAUC,-0.007903650261622052,52,1,1,0.1
AB,0.008630229978969683,62,0,0,0.5
ABAT,-0.007974178227515064,51,0,0,0.35
ABBV,0.022240784280906912,67,1,2,0.5
ABCB,-0.04071913009285752,38,1,28,1.0
ABCL,0.7095835683433656,98,0,0,0.0
ABEO,-0.14076891957507556,17,1,18,0.9
ABEV,-0.003457405136995894,55,0,0,0.8
ABG,0.009754656353604608,63,1,1,0.85
ABLV,0.007519872008610054,62,1,2,0.35
ABM,0.09421887936012695,82,0,0,0.9
ABNB,0.09749780347585867,82,1,1,0.05
ABOS,0.2811610123593929,95,0,0,0.0
ABR,-0.01598780392725574,47,1,1,0.55
ABSI,-0.004751404976395337,54,1,7,0.45
ABT,0.05323143731602835,74,1,6,0.3
ABTC,0.18754805425249518,91,0,0,0.0
ABTS,0.10148509805068566,83,0,0,0.15
ABUS,0.09733414653470857,82,0,0,0.1
ABVC,-0.11160823207541073,21,0,0,0.85
ABVX,-0.06661733737815774,29,0,0,0.95
ABX,-0.03083174838281546,41,0,0,0.75
ACA,0.03144729030137136,69,0,0,0.75
ACAAU,-0.0047631154885919725,54,0,0,0.7
ACAD,0.030847244448522212,69,1,3,0.15
ACB,0.29540128344062366,95,0,0,0.0
ACCL,0.25806337498796683,94,1,2,0.15
ACCO,0.06545821123200231,77,0,0,0.25
ACCS,-0.2602227325360016,8,1,6,0.95
ACDC,0.10013996997207532,83,0,0,0.2
ACEL,-0.0531411981298935,33,1,28,1.0
ACET,0.19695291537146792,91,0,0,0.25
ACFN,0.09066747036968383,81,0,0,0.4
ACGL,-0.02685417820394375,42,1,8,0.8
ACGLN,-0.023138260950627907,44,1,12,0.95
ACGLO,-0.024596585001550687,43,1,26,1.0
ACH,-0.6260322294684602,1,1,25,1.0
ACHC,-0.09268427611302883,24,1,7,0.9
ACHR,0.07684051585883422,79,0,0,0.4
ACHV,0.23436975494114567,93,0,0,0.0
ACI,-0.09281432732383797,24,1,1,0.7
ACIC,-0.13066271495592457,18,1,25,1.0
ACIU,0.15489825409395627,88,0,0,0.0
ACIW,-0.0037234177994600916,55,1,7,0.95
ACLS,-0.1798117866158308,13,1,15,0.85
ACM,-0.09495246710352181,24,1,5,0.9
ACMR,-0.14134265188330222,17,1,14,0.9
ACN,0.09465462252328712,82,1,1,0.05
ACNB,0.07301766401140744,78,0,0,0.1
ACNT,-0.011789893920278356,49,1,3,0.75
ACOG,0.1641132047387544,89,0,0,0.1
ACON,-0.0791997189171826,27,1,10,0.7
ACP,-0.016022448630616914,47,1,3,0.65
ACR,-0.1424384560008874,17,1,28,1.0
ACRE,-0.050613049088648415,34,1,9,0.55
ACRS,0.10032546502581798,83,0,0,0.15
ACRV,0.20339045684386764,92,0,0,0.0
ACT,0.0677191878534278,78,0,0,0.15
ACTG,-0.026825820167676494,42,0,0,0.85
ACTU,0.09586995250004206,82,0,0,0.45
ACU,0.20067750066727452,91,0,0,0.0
ACV,-0.034858419870137464,40,1,33,1.0
ACVA,0.016062663529855206,65,1,12,0.8
ACXP,-0.07407081577819505,28,1,15,0.9
AD,0.05920138613689008,76,0,0,0.4
ADAC,-0.0065357589581497505,53,1,4,0.9
ADACU,-0.005153248820416289,54,1,4,0.9
ADAG,-0.09810263869888174,23,1,10,0.75
ADAM,0.027729073090219828,68,1,7,0.35
ADAML,0.014365346391356882,64,0,0,0.4
ADAMM,0.01813988299568511,65,0,0,0.35
ADAMN,0.04342304208159606,72,0,0,0.1
ADAMZ,-0.02960887510934724,42,1,12,0.9
ADBE,0.03292707738929089,69,1,2,0.15
ADC,-0.04251451882762333,37,1,28,1.0
ADCT,0.1323345598906891,86,0,0,0.55
ADEA,-0.07644861557328995,27,0,0,0.8
ADGM,-0.07858857165246949,27,0,0,0.55
ADI,-0.08354834186828315,26,1,15,0.9
ADIL,1.1410017936018753,99,0,0,0.0
ADM,0.08141668334113888,80,0,0,0.55
ADMA,0.01854527314117971,65,0,0,0.25
ADNT,-0.067937618601404,29,1,1,0.9
ADP,0.05396515040746329,74,1,2,0.15
ADPT,0.10588267567458605,84,1,6,0.3
ADSE,-0.02927717703225551,42,1,5,0.95
ADSK,-0.08892906102165547,25,1,5,0.25
ADT,0.007775657174053485,62,1,1,0.45
ADTN,-0.24483404561515762,8,1,65,1.0
ADUR,-0.15486325014743946,15,1,8,0.45
ADUS,0.07908943728012005,80,0,0,0.35
ADV,-0.06079336753967142,31,1,6,0.9
ADVB,0.6578842322267695,98,1,1,0.4
ADX,0.012245879364346669,64,0,0,0.65
ADXN,-0.37503493711540126,4,1,18,0.9
AEAQ,-0.0027432992335970742,56,1,3,0.7
AEAQU,-0.01974658082491294,45,1,10,0.9
AEBI,0.007799002491698386,62,1,1,0.8
AEC,0.033121203586406495,70,1,7,0.5
AEE,-0.024401990109898408,43,1,29,1.0
AEF,0.09100385420932798,81,0,0,0.05
AEG,0.0376106980518484,71,0,0,0.65
AEHL,0.061016114190178106,76,0,0,0.8
AEHR,-0.02093545329881665,45,1,13,0.65
AEI,0.000830751809299448,58,1,1,0.25
AEIS,-0.09555446471451724,24,1,15,0.75
AEM,0.21366290609055819,92,0,0,0.0
AEMD,-0.5306258787967187,2,1,68,1.0
AENT,-0.0636826795645878,30,0,0,0.95
AEO,-0.01685844262721905,46,0,0,0.85
AEON,-0.3800050168555494,4,1,4,0.8
AEP,-0.023548315333268895,44,0,0,0.95
AER,-0.036426637768931375,39,1,8,0.95
AERO,-0.04097773363771742,37,0,0,0.85
AERT,0.014583282677336606,64,0,0,0.25
AES,0.004368319947543265,60,0,0,0.7
AESI,0.0692156610557502,78,0,0,0.3
AEVA,-0.3414709808501236,5,1,15,0.75
AEXA,-0.019113357494862936,46,1,3,0.75
AEYE,0.22809584588186604,93,0,0,0.15
AFB,-0.05162035544319862,34,1,12,0.95
AFCG,0.18689124939815593,90,0,0,0.1
AFG,-0.009702458460380346,50,1,8,0.8
AFJK,-0.15955365957565482,15,1,62,1.0
AFJKU,-0.3649626059370322,4,1,67,1.0
AFL,-0.05882883903191134,32,1,25,1.0
AFRI,0.04297682287361462,72,0,0,0.35
AFRM,-0.0514677653336548,34,1,6,0.55
AFYA,-0.0007205483089228835,58,1,1,0.45
AG,0.16052016126436847,89,0,0,0.0
AGBK,0.031077042839382552,69,0,0,0.75
AGCC,-0.10600713563346327,22,1,6,0.95
AGCO,0.17125417803694537,89,0,0,0.4
AGD,0.00324541606642529,60,1,4,0.3
AGEN,0.6862403531015036,98,1,1,0.05
AGI,0.11048276318526336,84,0,0,0.0
AGIG,0.22957226626064886,93,0,0,0.4
AGIO,-0.009150666686875617,50,1,3,0.75
AGL,-0.10174053513622638,22,1,23,1.0
AGM,0.06179563620999849,76,0,0,0.5
AGMB,0.13792107035276333,87,0,0,0.35
AGMH,-0.19520057802541113,11,1,8,0.6
AGNC,0.003656612314823872,60,1,9,0.7
AGNCL,0.005407658429740746,61,0,0,0.45
AGNCM,0.007287551716793617,62,0,0,0.6
AGNCN,0.0010945851364299822,58,0,0,0.7
AGNCO,0.0016518202839176724,59,0,0,0.65
AGNCP,0.006113312804267801,61,0,0,0.55
AGNCZ,0.001655760344224223,59,0,0,0.65
AGNT,-0.13069457990327704,18,1,9,0.65
AGO,-0.05945845207149274,31,1,27,1.0
AGPU,0.45380160414719917,97,0,0,0.15
AGRO,0.22082056158985847,92,0,0,0.25
AGRZ,-0.31994764955615224,5,1,12,0.85
AGX,-0.3113542529148495,6,1,47,1.0
AGYS,0.028199645556349438,68,1,2,0.2
AHCO,-0.15373283805037904,15,1,1,0.9
AHG,-0.41878897633008355,3,1,26,1.0
AHMA,-0.2794798906795825,7,1,19,0.95
AHR,0.01674546474347996,65,1,3,0.6
AHRT,-0.06828199418811151,29,1,27,1.0
AHT,-0.01540723763692303,47,1,7,0.6
AI,0.053698928101503576,74,0,0,0.15
AIB,-0.2371133554232584,9,0,0,0.95
AIDX,0.05979466606562621,76,0,0,0.1
AIFA,0.4880674490035941,97,0,0,0.0
AIFC,0.01832090973924252,65,1,1,0.35
AIFF,-0.13893694960395508,17,0,0,0.85
AIFU,-0.6014270439533749,1,1,50,1.0
AIG,-0.048651601782131945,35,1,10,0.95
AII,0.3377666085193789,96,0,0,0.05
AIIA,-0.00852120466851135,51,0,0,0.75
AIIO,-0.36505084310276775,4,1,36,1.0
AIIR,0.10290097066963395,83,1,1,0.2
AIM,-0.2857909937006238,7,1,6,0.9
AIMD,-0.13524003771110865,17,0,0,0.8
AIN,-0.06989513226109388,29,0,0,0.85
AIO,-0.018944808308884196,46,1,5,0.6
AIOS,-0.028481481104337684,42,1,5,0.4
AIOT,-0.31228989262321427,6,1,21,1.0
AIP,-0.30964346320684366,6,1,47,1.0
AIR,-0.036746323520331844,39,1,14,0.75
AIRE,-0.09025785768860779,25,0,0,0.55
AIRG,-0.07812030959089417,27,0,0,0.95
AIRI,-0.08826035652270951,25,1,2,0.65
AIRJ,-0.12638914845008847,19,1,15,0.75
AIRO,-0.07095295303484912,29,1,11,0.55
AIRS,-0.4438072081224121,3,1,21,1.0
AIRT,0.13376379804912414,87,0,0,0.3
AIRTP,0.006968328780704337,61,0,0,0.65
AISP,-0.07666737588701758,27,1,3,0.45
AIT,-0.041871015035838385,37,1,14,0.8
AIV,-0.10776765916262988,21,1,46,1.0
AIXC,-0.2791093847426043,7,1,11,0.8
AIXI,-0.6210405741896037,1,1,35,1.0
AIZ,0.004590326528044954,60,1,1,0.55
AJG,0.03466115784808799,70,1,1,0.3
AKA,0.0012721596006017855,59,1,1,0.75
AKAM,-0.137533575579678,17,1,15,0.8
AKAN,-0.5463586233366816,2,1,56,1.0
AKBA,-0.006631907048682505,53,0,0,0.85
AKR,-0.04261347351787555,37,1,10,0.95
AKTS,0.037601199747684694,71,1,1,0.25
AKTX,0.16589280397535622,89,0,0,0.55
ALAB,-0.2021571511401926,11,1,1,0.95
ALAR,-0.37878761592336024,4,1,55,1.0
ALB,-0.03853575682142074,38,1,3,0.15
ALC,-0.009512029968799794,50,1,3,0.35
ALCO,-0.0005914473294113317,58,1,1,0.45
ALDF,-0.0008026456795545579,57,0,0,0.75
ALDFU,-0.0059673261056910724,53,0,0,0.6
ALDX,-0.1340800755695893,18,0,0,0.95
ALEC,0.4395154538873567,97,0,0,0.0
ALF,-0.004667057843931942,54,0,0,0.75
ALFUU,-0.008918479773074417,51,1,3,0.95
ALG,0.051864290845973465,74,0,0,0.45
ALGM,-0.25009035672943974,8,1,42,1.0
ALGN,-0.12993949133864824,18,1,16,0.95
ALGS,-0.006027789357271437,53,1,6,0.3
ALGT,-0.22713698606355104,9,1,25,1.0
ALH,-0.17686617696917745,13,1,21,1.0
ALHC,-0.17301251202204343,13,1,34,1.0
ALIS,0.00617205416626453,61,0,0,0.7
ALISU,-0.00581160146729559,53,1,4,0.9
ALIT,-0.16203048918771945,14,1,1,0.95
ALK,-0.16435390056118906,14,1,21,1.0
ALKS,-0.07807768794465182,27,1,30,1.0
ALKT,0.055226598449858666,75,1,2,0.15
ALL,0.011708664570711604,63,1,2,0.75
ALLE,0.0452561314644334,72,1,10,0.55
ALLO,-0.07925337262035528,27,1,7,0.4
ALLR,-0.08836720161608537,25,1,1,0.15
ALLT,-0.04427433203869714,36,0,0,0.85
ALLY,-0.04115660330959342,37,1,1,0.9
ALM,0.28811979759675715,95,0,0,0.1
ALMS,-0.6008891182172478,1,1,26,1.0
ALMU,-0.3175821371773042,5,1,15,0.8
ALNT,-0.045486987377244714,36,0,0,0.65
ALNY,0.012076111912847444,63,0,0,0.6
ALOV,-0.008224800753787898,51,1,4,0.85
ALOVU,-0.006731362233656556,52,0,0,0.8
ALOY,-0.22195139679456177,10,1,9,0.55
ALP,-0.5274137114499289,2,1,3,0.95
ALRM,0.05267004229861892,74,1,3,0.3
ALRS,0.04423666736741726,72,0,0,0.65
ALSN,0.11327015703517537,84,0,0,0.05
ALT,0.10594997812589073,84,0,0,0.35
ALTG,-0.11987131742599512,20,1,16,0.85
ALTI,-0.1090862242005011,21,1,6,0.4
ALTO,-0.17716208077657397,13,1,24,1.0
ALUB,-0.005456655172693102,54,0,0,0.8
ALV,-0.021537715544253433,45,1,1,0.65
ALVO,0.3861543094279251,96,0,0,0.0
ALX,-0.03514367021339085,39,1,5,0.7
ALXO,0.013494377981066511,64,1,2,0.7
ALZN,0.3285412687176369,95,0,0,0.0
AM,0.053978917366201126,74,0,0,0.4
AMAL,0.01541147120327745,64,1,1,0.65
AMAT,-0.13626296377220987,17,1,18,0.95
AMBA,-0.21526298880526318,10,1,16,0.8
AMBO,-0.0023591227612249632,56,1,3,0.9
AMBP,0.0570326236348843,75,1,7,0.35
AMBQ,-0.20741657963843804,10,1,39,1.0
AMBR,-0.31527965176951006,6,1,31,1.0
AMC,0.17412814211552358,90,1,1,0.3
AMCI,-0.20320637177300765,11,1,11,0.75
AMCR,0.014992526532773397,64,1,3,0.55
AMCX,0.11618694491967949,85,1,1,0.05
AMD,-0.0017861293655162171,57,0,0,0.85
AME,-0.02316545947056159,44,1,15,0.75
AMG,-0.011404110704424172,49,1,1,0.6
AMGN,0.02747561595501079,68,1,1,0.05
AMH,-0.04910025944911402,35,1,9,0.75
AMIX,-0.45944909850560456,3,1,9,0.9
AMKR,-0.188983367745022,12,1,15,0.95
AMLX,0.8074185599091033,98,0,0,0.0
AMN,-0.0020999671490199087,56,1,6,0.45
AMOD,-0.5719679988864184,2,1,10,0.65
AMP,0.07897555636280112,79,0,0,0.25
AMPG,-0.42985061275026826,3,1,17,0.85
AMPH,0.14118269657668053,87,0,0,0.1
AMPL,0.2968743230204924,95,1,1,0.05
AMPX,-0.19760913775487537,11,0,0,0.7
AMPY,0.18543847914085057,90,0,0,0.0
AMR,0.39637983758876755,96,0,0,0.0
AMRC,-0.08997418811792669,25,0,0,0.7
AMRN,-0.029123071676049814,42,0,0,0.85
AMRX,0.010472883703173445,63,1,3,0.75
AMRZ,-0.14147210159797868,17,1,23,1.0
AMS,-0.03350058292241755,40,1,8,0.7
AMSC,-0.15813341559188876,15,0,0,0.95
AMSF,-0.20427290356193067,11,1,34,1.0
AMST,-0.05785170418143033,32,0,0,0.35
AMT,0.00765146453829494,62,0,0,0.35
AMTB,0.0984193917222669,83,0,0,0.2
AMTD,-0.13015199698811336,18,1,10,0.85
AMTM,-0.14038195198174677,17,1,20,1.0
AMTX,-0.024263151653977088,43,1,3,0.15
AMWL,0.22833794800778923,93,0,0,0.35
AMX,-0.06704764659702317,29,1,31,1.0
AMZE,-0.470918101374407,3,1,51,1.0
AMZN,-0.018990002059005827,46,1,6,0.75
AN,0.043195709968291376,72,0,0,0.75
ANAB,-0.033425442643912395,40,1,8,0.55
ANDE,0.026825451973567224,68,0,0,0.75
ANDG,0.2034576774526217,92,0,0,0.1
ANET,0.07392550984262897,78,0,0,0.35
ANF,0.5535523297523095,98,0,0,0.2
ANGH,-0.03236114810126012,40,1,1,0.7
ANGI,-0.14509409305839827,16,1,3,0.9
ANGO,0.08484764935129659,80,1,3,0.15
ANGX,0.27426719749057454,94,0,0,0.2
ANIK,0.1629070258194173,89,0,0,0.0
ANIP,-0.13321105992491372,18,1,22,1.0
ANIX,-0.07880000901846049,27,1,7,0.55
ANL,0.31412551411214246,95,0,0,0.05
ANNA,0.13138463508224216,86,0,0,0.55
ANNX,-0.15884670359028952,15,1,13,0.95
ANPA,-0.3058715585821605,6,1,19,0.95
ANRO,0.3971144858656718,96,0,0,0.0
ANTA,-0.2033850162199505,11,1,4,0.7
ANTX,0.1936028955606546,91,0,0,0.3
ANVS,-0.3177392741639315,5,1,9,0.75
ANY,0.05113081499840173,74,0,0,0.5
AOD,0.030729452347776656,69,0,0,0.25
AOMR,-0.03774266243014028,39,1,27,1.0
AON,-0.10673805536020778,22,1,10,0.95
AORT,0.01376104324265989,64,1,4,0.5
AOS,-0.04182599380986614,37,1,8,0.7
AOSL,-0.3382847270917625,5,1,18,0.9
AOUT,0.1837529053417568,90,0,0,0.9
AP,-0.040478473656322095,38,1,7,0.65
APA,0.19805539676509987,91,0,0,0.0
APAC,-0.003913865536768923,55,0,0,0.7
APACU,-0.0059340104238590485,53,0,0,0.8
APAM,0.06656889681075943,77,1,5,0.25
APC,-0.01843004564626991,46,0,0,0.9
APD,0.00017709482046549506,58,1,3,0.35
APEI,-0.15583573857926458,15,1,23,1.0
APG,-0.04673575620803469,35,1,13,0.65
APH,0.004991151361612281,61,0,0,0.6
API,-0.08413049530770304,26,1,1,0.5
APLD,-0.1230011932398415,19,0,0,0.8
APLE,-0.05457671015993629,33,1,6,0.65
APLM,0.457074224642477,97,0,0,0.15
APO,0.04947326605509114,73,1,1,0.2
APOG,-0.05140056073716445,34,1,18,0.9
APP,-0.2683341447002425,7,1,42,1.0
APPF,0.11197812941016398,84,1,2,0.1
APPN,0.18450751491003878,90,1,1,0.05
APPS,-0.07061274151844142,29,0,0,0.6
APRE,0.20518620039553973,92,0,0,0.2
APT,-0.0010140903357041316,57,1,1,0.35
APTV,-0.1861015294471241,12,1,28,1.0
APUS,-0.6070526709566936,1,1,29,1.0
APVO,-0.5638161108331106,2,1,35,1.0
APWC,-0.09074615278492965,24,1,18,0.9
APXT,-0.003870651765168197,55,0,0,0.8
APXTU,-0.004821464621226545,54,0,0,0.75
APYX,-0.29915259533963845,6,1,24,1.0
AQB,0.07724768726337448,79,1,5,0.3
AQMS,0.002192436453244056,59,0,0,0.35
AQN,-0.018239943269148927,46,1,12,0.95
AQST,0.2875604403842218,95,0,0,0.0
AR,0.11418454201583629,84,0,0,0.0
ARAI,-0.2784490974531012,7,1,97,1.0
ARAY,-0.11188804122192293,21,1,12,0.7
ARBB,-0.01105902606927638,49,0,0,0.65
ARBE,-0.05427915251896252,33,0,0,0.6
ARBK,-0.055657021616115784,33,0,0,0.7
ARCB,-0.06630076907710471,30,1,1,0.95
ARCC,0.019814296759467644,66,1,1,0.1
ARCI,-0.007790685540190822,52,1,4,0.85
ARCIU,0.0030772055803370505,60,0,0,0.7
ARCO,-0.015085147611857773,47,0,0,0.65
ARCT,1.1398538154853766,99,0,0,0.0
ARDC,-0.013370832622145322,48,1,3,0.8
ARDT,0.01974412776879416,66,1,4,0.65
ARDX,-0.19116120171055007,12,1,51,1.0
ARE,0.020275488793059123,66,1,1,0.35
AREC,0.0862661868578561,81,1,7,0.35
ARES,0.060277276246312794,76,1,2,0.15
ARGX,0.13380088716414718,87,0,0,0.2
ARHS,0.02640336484381012,68,1,10,0.5
ARI,-0.0024785332503225125,56,1,3,0.55
ARIS,0.22958192282002537,93,0,0,0.0
ARKO,-0.28774248720216083,7,1,26,1.0
ARKR,-0.17255358473966095,13,1,31,1.0
ARL,-0.10412541751822785,22,1,1,0.8
ARLO,0.0003557506976411551,58,0,0,0.85
ARLP,0.08158845121221639,80,0,0,0.15
ARM,-0.1556627402558468,15,0,0,0.95
ARMK,0.024348883356687463,67,1,8,0.4
ARMP,0.12435464466947514,85,0,0,0.35
AROC,-0.050419248277140935,34,0,0,0.95
AROW,-0.004893645194785431,54,0,0,0.8
ARQ,-0.016026175283491706,47,0,0,0.35
ARQQ,0.16798410636116484,89,0,0,0.55
ARQT,-0.04582752650695157,36,1,27,1.0
ARR,-0.019137505482914607,46,1,10,0.95
ARRY,-0.24714773800289325,8,1,54,1.0
ARTCU,-0.014743543250752087,47,1,4,0.95
ARTL,-0.22606149331814424,9,1,105,1.0
ARTNA,0.08043471951101423,80,0,0,0.0
ARTV,0.14082712772636616,87,1,3,0.25
ARTW,0.3039269461056333,95,0,0,0.05
ARVN,0.08307737534229175,80,1,1,0.05
ARW,0.04110531695847015,71,0,0,0.8
ARWR,0.011202548790238055,63,1,7,0.45
ARX,0.5324318530195652,97,0,0,0.05
AS,-0.19586762800126203,11,1,21,1.0
ASA,0.10794272887714333,84,0,0,0.0
ASAN,0.048496772876002334,73,1,2,0.1
ASB,0.007765465130776871,62,1,1,0.65
ASBP,0.26727217953755333,94,0,0,0.05
ASC,0.15265986451219898,88,0,0,0.15
ASG,-0.03943264801020225,38,1,14,0.7
ASGI,-0.05040978748574354,34,1,7,0.45
ASH,0.060274843207890436,76,1,3,0.2
ASIC,0.12244345240020442,85,0,0,0.2
ASIX,-0.07377191676398805,28,1,1,0.9
ASLE,-0.06975714380817394,29,1,1,0.95
ASM,0.12203266300041275,85,0,0,0.05
ASMB,0.34496317512886915,96,0,0,0.0
ASML,-0.0059857435718037805,53,0,0,0.65
ASND,0.07665179141350681,79,0,0,0.55
ASO,-0.07575873501134,28,1,19,0.95
ASPC,-0.0015144324191377788,57,1,1,0.6
ASPCU,0.09427310378015145,82,0,0,0.35
ASPI,-0.16280076399136675,14,0,0,0.9
ASPN,-0.1607149899463908,14,1,15,0.75
ASPS,-0.11148650112897092,21,1,4,0.9
ASR,-0.09693781797560876,23,1,45,1.0
ASRV,0.08580935064097174,81,1,1,0.1
ASST,1.083205839420482,99,0,0,0.15
ASTC,-0.2881211865162672,6,1,17,0.9
ASTE,-0.12310630732627555,19,1,30,1.0
ASTH,-0.033349438450436864,40,1,3,0.6
ASTI,-0.30050350847731055,6,1,57,1.0
ASTL,0.07820148650428312,79,0,0,0.45
ASTS,-0.13705077534811128,17,0,0,0.65
ASUR,0.03935233916921449,71,0,0,0.3
ASX,0.025655429903351148,67,0,0,0.6
ASYS,-0.10394207522201872,22,0,0,0.8
ATAI,0.28524201754694506,95,0,0,0.0
ATAT,-0.021163986153424484,45,1,3,0.5
ATCH,-0.013494566003945507,48,1,8,0.45
ATEC,0.007089379198386408,61,1,1,0.6
ATEN,-0.19886509873623023,11,1,34,1.0
ATER,0.04457562098920749,72,0,0,0.8
ATEX,-0.08051419457699817,26,1,7,0.9
ATGL,-0.38290863382053214,4,1,33,1.0
ATHE,-0.020404660652070826,45,1,8,0.8
ATHM,0.051495972271880616,74,1,6,0.75
ATHR,-0.2001754485643994,11,1,20,1.0
ATI,0.006607139896160408,61,1,1,0.5
ATII,-0.02393289955777209,43,1,4,0.95
ATIIU,-0.05238950614133642,33,1,43,1.0
ATKR,0.12941876094512816,86,0,0,0.0
ATLC,-0.03481815425098027,40,1,22,1.0
ATLCP,0.00044633879648833287,58,0,0,0.85
ATLO,0.06591400148385358,77,0,0,0.15
ATLX,-0.01010108088289293,50,0,0,0.2
ATMU,-0.05416615550456383,33,1,22,1.0
ATNI,0.08056100238571966,80,0,0,0.05
ATNM,0.3753962127146865,96,0,0,0.1
ATO,-0.02024302176703959,45,1,28,1.0
ATOM,-0.3501102510348813,4,1,48,1.0
ATOS,-0.04372878047017073,36,1,6,0.4
ATPC,-0.17322012321213576,13,1,36,1.0
ATR,-0.02591017662499956,43,1,8,0.75
ATRA,0.11875731520710729,85,0,0,0.2
ATRC,0.5059234889764219,97,0,0,0.0
ATRO,0.02316712016060646,67,1,13,0.65
ATS,-0.19654047787798923,11,1,25,1.0
ATXG,-0.11768702595088527,20,1,14,0.75
ATYR,-0.072504305109794,28,1,5,0.45
AU,0.20945581900316926,92,0,0,0.0
AUB,-0.020527416790501574,45,1,26,1.0
AUBN,0.004240876008424068,60,0,0,0.75
AUC,-0.03030869962803405,41,0,0,0.95
AUDC,0.012578512581601156,64,0,0,0.3
AUGO,0.27305292902306316,94,0,0,0.0
AUID,-0.4935531811949482,2,1,39,1.0
AUNA,0.019666115919246125,66,1,1,0.55
AUPH,-0.005962278443955669,53,1,3,0.45
AUR,-0.028712664966671516,42,0,0,0.6
AURA,-0.005570509770943376,54,1,7,0.35
AURE,-0.21665276494465258,10,1,60,1.0
AUST,0.03640938701812063,70,0,0,0.3
AUTL,0.1548619302825518,88,1,1,0.05
AUUD,-0.024835841827904135,43,1,19,0.95
AVA,-0.05789681796143281,32,1,28,1.0
AVAH,0.5397270405792589,98,0,0,0.1
AVAL,0.06105065500618606,76,0,0,0.3
AVAT,0.7963542181387401,98,0,0,0.4
AVAV,-0.14846247827125342,16,1,14,0.7
AVBC,0.05174072946003551,74,0,0,0.15
AVBH,-0.024293376212139516,43,1,26,1.0
AVBP,-0.04946196258736063,35,1,1,0.7
AVD,-0.10713489317367265,22,1,1,0.85
AVGO,-0.11612398802077849,20,1,17,0.85
AVIR,0.14222682724479424,87,0,0,0.0
AVK,-0.02383653249583908,43,1,14,0.75
AVNT,0.06178338426524428,76,1,3,0.2
AVNW,-0.058893037599508466,32,1,7,0.65
AVO,0.022577562530448108,67,0,0,0.65
AVPT,0.06499572978565983,77,1,2,0.25
AVR,-0.0679293688945518,29,1,1,0.55
AVT,0.0036627720653033113,60,0,0,0.65
AVTR,0.3023961883017654,95,0,0,0.0
AVTX,0.13501143560160167,87,0,0,0.35
AVX,-0.13031486573857498,18,0,0,0.5
AVXL,-0.04786471751604218,35,1,8,0.4
AVY,0.0240017555839584,67,1,8,0.4
AWF,-0.005411684337341726,54,0,0,0.8
AWI,0.007451127596085575,62,1,8,0.4
AWK,0.06891978579292067,78,0,0,0.25
AWP,-0.02187906219193044,44,1,8,0.95
AWR,0.0530717767801442,74,0,0,0.1
AWRE,-0.07350994486903822,28,1,1,0.55
AWX,0.029772469778441956,69,0,0,0.4
AX,-0.008189652602744686,51,1,16,0.95
AXG,-0.3241288190001905,5,1,60,1.0
AXGN,0.040407871453031624,71,1,4,0.2
AXIL,-0.0019610867807003385,57,1,2,0.3
AXIN,-0.007541672159873369,52,0,0,0.75
AXINU,-0.0035270338935058706,55,0,0,0.7
AXON,-0.0910363599147209,24,1,6,0.3
